Sector,Tiene_Parqueadero_Num,Precio_Venta_COP,Estrato,Area_Construida_m2,Distancia_CC_SanNicolas_km,Conjunto_Cerrado_Num,Urbana_Rural_Num,Topografia_Num
Corregimiento Norte (Galicia/La Mosca),1,1413000000,4,168.13,10.0,0,0,3
Comuna 4 (El Porvenir),1,507000000,4,100.91,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,6434000000,6,740.29,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,1504000000,2,228.05,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,612000000,2,124.9,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,2027000000,4,1211.44,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,5399000000,5,732.52,12.0,1,0,1
Corregimiento Occidente (Llanogrande),1,2963000000,5,402.49,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,1976000000,3,250.06,10.0,0,0,3
Comuna 2 (San Antonio),1,887000000,5,168.39,3.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,491000000,2,102.37,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1112000000,2,168.42,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,629000000,2,123.99,12.0,0,1,1
Comuna 3 (Uribe Jaramillo),1,587000000,2,115.22,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,1085000000,3,924.01,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,4322000000,5,574.91,12.0,1,0,1
Comuna 4 (El Porvenir),1,777000000,3,166.1,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,1586000000,3,1345.02,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1783000000,4,1075.38,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,739000000,3,127.33,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,5092000000,5,414.3,14.0,1,0,2
Corregimiento Occidente (Llanogrande),1,4281000000,6,499.99,12.0,1,0,1
Comuna 2 (San Antonio),1,612000000,4,122.64,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,1566000000,3,1369.82,6.0,0,0,2
Comuna 4 (El Porvenir),1,1113000000,4,220.63,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,3814000000,4,368.88,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,4955000000,6,352.07,14.0,1,0,2
Comuna 2 (San Antonio),1,508000000,5,90.72,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,2230000000,4,1453.54,6.0,0,0,2
Comuna 4 (El Porvenir),1,835000000,3,176.35,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,4838000000,6,595.43,12.0,1,0,1
Comuna 1 (Centro Histórico),0,382000000,2,114.1,1.5,0,1,0
Comuna 4 (El Porvenir),1,952000000,4,176.62,2.5,1,1,0
Comuna 2 (San Antonio),1,908000000,4,180.73,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,4328000000,5,368.84,14.0,1,0,2
Corregimiento Occidente (Llanogrande),1,3147000000,5,459.67,12.0,1,0,1
Comuna 4 (El Porvenir),1,1014000000,4,203.3,2.5,1,1,0
Comuna 1 (Centro Histórico),0,569000000,2,157.89,1.5,0,1,0
Comuna 1 (Centro Histórico),0,722000000,3,171.41,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,639000000,3,104.83,12.0,0,1,1
Comuna 3 (Uribe Jaramillo),1,587000000,2,116.21,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1065000000,2,166.03,10.0,0,0,3
Comuna 2 (San Antonio),1,608000000,4,128.06,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,2419000000,4,1544.16,6.0,0,0,2
Comuna 4 (El Porvenir),1,1024000000,4,191.22,2.5,1,1,0
Comuna 4 (El Porvenir),1,594000000,4,112.56,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,1418000000,3,1169.08,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,2183000000,3,276.77,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,3469000000,6,244.18,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,4401000000,6,317.12,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1050000000,2,167.46,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,3796000000,6,284.17,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,531000000,2,110.61,12.0,0,1,1
Comuna 4 (El Porvenir),1,370000000,3,83.5,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,1214000000,4,145.17,10.0,0,0,3
Comuna 4 (El Porvenir),1,537000000,3,119.72,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,898000000,3,719.88,6.0,0,0,2
Comuna 1 (Centro Histórico),0,517000000,3,125.11,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,728000000,3,124.88,12.0,0,1,1
Corregimiento Occidente (Llanogrande),1,4541000000,6,520.32,12.0,1,0,1
Comuna 3 (Uribe Jaramillo),1,660000000,3,108.66,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1985000000,4,237.31,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,3720000000,6,457.66,12.0,1,0,1
Comuna 1 (Centro Histórico),0,736000000,3,176.85,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1207000000,2,181.8,10.0,0,0,3
Comuna 2 (San Antonio),1,423000000,4,83.66,3.5,0,1,0
Comuna 4 (El Porvenir),1,727000000,4,142.51,2.5,1,1,0
Comuna 1 (Centro Histórico),0,476000000,2,135.41,1.5,0,1,0
Comuna 4 (El Porvenir),1,987000000,3,209.96,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,4182000000,5,366.63,14.0,1,0,2
Comuna 2 (San Antonio),1,698000000,3,154.64,3.5,0,1,0
Comuna 2 (San Antonio),1,658000000,4,132.39,3.5,0,1,0
Comuna 1 (Centro Histórico),0,558000000,2,161.25,1.5,0,1,0
Comuna 2 (San Antonio),1,736000000,3,156.44,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,2998000000,5,401.28,12.0,1,0,1
Comuna 2 (San Antonio),1,852000000,3,198.5,3.5,0,1,0
Comuna 4 (El Porvenir),1,763000000,3,159.04,2.5,1,1,0
Comuna 4 (El Porvenir),1,724000000,3,150.21,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,1574000000,2,253.04,10.0,0,0,3
Comuna 4 (El Porvenir),1,1148000000,4,214.51,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,1354000000,2,204.36,10.0,0,0,3
Comuna 4 (El Porvenir),1,801000000,3,170.83,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,5786000000,6,665.16,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1288000000,4,781.77,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,930000000,2,150.36,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,484000000,2,96.89,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,5564000000,5,474.31,14.0,1,0,2
Comuna 1 (Centro Histórico),0,721000000,4,147.29,1.5,0,1,0
Comuna 4 (El Porvenir),1,1050000000,4,206.0,2.5,1,1,0
Comuna 2 (San Antonio),1,608000000,3,137.78,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,1646000000,4,1051.8,6.0,0,0,2
Comuna 4 (El Porvenir),1,720000000,3,154.23,2.5,1,1,0
Comuna 2 (San Antonio),1,635000000,3,138.18,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,3429000000,4,345.76,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,3191000000,4,318.26,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,4322000000,5,362.34,14.0,1,0,2
Comuna 2 (San Antonio),1,837000000,4,164.79,3.5,0,1,0
Comuna 4 (El Porvenir),1,718000000,4,141.99,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,3540000000,6,262.96,14.0,1,0,2
Corregimiento Occidente (Llanogrande),1,4577000000,5,668.41,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,1647000000,3,211.59,10.0,0,0,3
Comuna 2 (San Antonio),1,551000000,3,128.02,3.5,0,1,0
Comuna 2 (San Antonio),1,1028000000,5,195.64,3.5,0,1,0
Comuna 4 (El Porvenir),1,764000000,4,142.19,2.5,1,1,0
Comuna 2 (San Antonio),1,460000000,3,100.11,3.5,0,1,0
Comuna 2 (San Antonio),1,914000000,5,164.24,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,2833000000,4,289.88,14.0,1,0,2
Comuna 4 (El Porvenir),1,725000000,3,161.78,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,5763000000,6,402.94,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1874000000,3,236.77,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,957000000,3,786.92,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,2112000000,4,250.58,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,1107000000,3,896.91,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,2212000000,4,223.59,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1452000000,3,200.55,10.0,0,0,3
Comuna 4 (El Porvenir),1,917000000,4,179.5,2.5,1,1,0
Comuna 1 (Centro Histórico),0,488000000,2,142.33,1.5,0,1,0
Corregimiento Sur (Cabeceras),1,3346000000,5,289.74,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1094000000,3,940.79,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,3685000000,6,435.78,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1947000000,4,1247.95,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,3363000000,5,467.83,12.0,1,0,1
Comuna 2 (San Antonio),1,863000000,5,150.07,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,2343000000,3,305.67,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,3683000000,5,502.25,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,2169000000,4,1409.6,6.0,0,0,2
Comuna 2 (San Antonio),1,882000000,4,181.66,3.5,0,1,0
Comuna 1 (Centro Histórico),0,607000000,3,143.69,1.5,0,1,0
Comuna 4 (El Porvenir),1,881000000,3,199.09,2.5,1,1,0
Comuna 4 (El Porvenir),1,774000000,3,170.8,2.5,1,1,0
Comuna 4 (El Porvenir),1,610000000,4,119.9,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,3085000000,5,416.83,12.0,1,0,1
Comuna 1 (Centro Histórico),0,468000000,2,140.24,1.5,0,1,0
Corregimiento Occidente (Llanogrande),1,4174000000,5,602.13,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,1216000000,2,196.11,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,5051000000,5,732.36,12.0,1,0,1
Comuna 1 (Centro Histórico),0,682000000,4,144.11,1.5,0,1,0
Comuna 1 (Centro Histórico),0,719000000,4,149.42,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1456000000,3,197.03,10.0,0,0,3
Comuna 1 (Centro Histórico),0,345000000,2,101.51,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,686000000,3,590.27,6.0,0,0,2
Comuna 1 (Centro Histórico),0,344000000,2,101.01,1.5,0,1,0
Comuna 4 (El Porvenir),1,737000000,3,156.77,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,2245000000,4,1476.55,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,3411000000,4,2032.17,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,1748000000,2,260.37,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,664000000,2,127.68,12.0,0,1,1
Comuna 3 (Uribe Jaramillo),1,567000000,2,111.79,12.0,0,1,1
Comuna 1 (Centro Histórico),0,511000000,3,125.53,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1966000000,3,1601.09,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,462000000,2,92.54,12.0,0,1,1
Comuna 3 (Uribe Jaramillo),1,537000000,2,105.43,12.0,0,1,1
Comuna 1 (Centro Histórico),0,813000000,4,167.98,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,582000000,2,114.16,12.0,0,1,1
Corregimiento Occidente (Llanogrande),1,3423000000,5,498.99,12.0,1,0,1
Comuna 2 (San Antonio),1,702000000,5,129.01,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1270000000,3,170.66,10.0,0,0,3
Comuna 2 (San Antonio),1,575000000,3,132.29,3.5,0,1,0
Comuna 1 (Centro Histórico),0,732000000,4,147.7,1.5,0,1,0
Comuna 4 (El Porvenir),1,804000000,3,168.75,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,1570000000,3,202.99,10.0,0,0,3
Comuna 1 (Centro Histórico),0,524000000,3,132.15,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1076000000,3,866.1,6.0,0,0,2
Comuna 4 (El Porvenir),1,742000000,3,168.19,2.5,1,1,0
Comuna 2 (San Antonio),1,663000000,5,125.91,3.5,0,1,0
Comuna 1 (Centro Histórico),0,574000000,2,159.74,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1785000000,4,1071.97,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,1162000000,4,141.06,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,1557000000,4,177.77,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,4976000000,6,358.39,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1533000000,4,939.92,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,4414000000,5,601.65,12.0,1,0,1
Comuna 3 (Uribe Jaramillo),1,772000000,3,126.88,12.0,0,1,1
Comuna 4 (El Porvenir),1,887000000,3,187.63,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,1447000000,3,1182.78,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,3591000000,4,347.78,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,705000000,3,114.11,12.0,0,1,1
Comuna 3 (Uribe Jaramillo),1,517000000,2,98.45,12.0,0,1,1
Comuna 1 (Centro Histórico),0,449000000,2,122.92,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,324000000,3,53.26,12.0,0,1,1
Corregimiento Occidente (Llanogrande),1,4682000000,6,524.6,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,2091000000,3,262.35,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,2109000000,4,208.02,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,558000000,2,112.55,12.0,0,1,1
Comuna 1 (Centro Histórico),0,581000000,4,125.11,1.5,0,1,0
Corregimiento Occidente (Llanogrande),1,2881000000,5,391.92,12.0,1,0,1
Comuna 2 (San Antonio),1,679000000,4,141.63,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1438000000,3,191.47,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,2018000000,3,255.73,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,2539000000,5,214.24,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1436000000,3,196.73,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,566000000,3,98.29,12.0,0,1,1
Comuna 1 (Centro Histórico),0,500000000,2,139.17,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1318000000,3,169.35,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,1572000000,3,217.24,10.0,0,0,3
Comuna 2 (San Antonio),1,957000000,3,210.94,3.5,0,1,0
Comuna 2 (San Antonio),1,653000000,3,138.52,3.5,0,1,0
Comuna 4 (El Porvenir),1,944000000,4,190.28,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,4397000000,5,624.09,12.0,1,0,1
Comuna 3 (Uribe Jaramillo),1,623000000,3,102.82,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,2208000000,4,264.92,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,1425000000,3,1152.16,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,1369000000,2,215.85,10.0,0,0,3
Comuna 1 (Centro Histórico),0,636000000,4,132.17,1.5,0,1,0
Comuna 4 (El Porvenir),1,661000000,4,133.24,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,5374000000,5,734.61,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1721000000,4,1128.92,6.0,0,0,2
Comuna 4 (El Porvenir),1,461000000,3,104.16,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,2597000000,5,210.58,14.0,1,0,2
Corregimiento Occidente (Llanogrande),1,4927000000,6,557.22,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,1193000000,2,189.03,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,1086000000,3,139.81,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,3310000000,6,386.12,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,1601000000,3,207.51,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,678000000,2,139.02,12.0,0,1,1
Corregimiento Occidente (Llanogrande),1,3586000000,5,477.88,12.0,1,0,1
Comuna 4 (El Porvenir),1,797000000,4,147.85,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,4485000000,5,634.74,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1694000000,4,1012.88,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,1761000000,2,276.27,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,820000000,3,140.34,12.0,0,1,1
Comuna 3 (Uribe Jaramillo),1,393000000,2,78.9,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,2578000000,5,217.29,14.0,1,0,2
Comuna 4 (El Porvenir),1,909000000,4,167.96,2.5,1,1,0
Comuna 2 (San Antonio),1,556000000,3,129.57,3.5,0,1,0
Comuna 2 (San Antonio),1,962000000,5,170.69,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,3524000000,6,429.71,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,4010000000,6,287.14,14.0,1,0,2
Comuna 1 (Centro Histórico),0,521000000,3,131.25,1.5,0,1,0
Corregimiento Occidente (Llanogrande),1,5130000000,6,589.22,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,5306000000,6,365.06,14.0,1,0,2
Comuna 4 (El Porvenir),1,825000000,4,163.81,2.5,1,1,0
Comuna 4 (El Porvenir),1,753000000,3,166.46,2.5,1,1,0
Comuna 4 (El Porvenir),1,750000000,3,162.72,2.5,1,1,0
Comuna 4 (El Porvenir),1,801000000,4,148.11,2.5,1,1,0
Comuna 4 (El Porvenir),1,449000000,4,90.74,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,2464000000,4,236.64,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,2735000000,5,219.22,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,838000000,3,138.13,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,1248000000,4,805.56,6.0,0,0,2
Comuna 2 (San Antonio),1,1073000000,5,191.71,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1542000000,4,182.36,10.0,0,0,3
Comuna 4 (El Porvenir),1,765000000,4,143.89,2.5,1,1,0
Comuna 1 (Centro Histórico),0,616000000,4,124.39,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1559000000,2,234.65,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,2407000000,5,206.23,14.0,1,0,2
Comuna 1 (Centro Histórico),0,608000000,4,131.08,1.5,0,1,0
Comuna 1 (Centro Histórico),0,813000000,4,175.92,1.5,0,1,0
Comuna 1 (Centro Histórico),0,557000000,3,133.5,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,479000000,2,99.87,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,3063000000,5,247.57,14.0,1,0,2
Comuna 1 (Centro Histórico),0,601000000,4,121.12,1.5,0,1,0
Comuna 4 (El Porvenir),1,867000000,4,160.61,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,2558000000,6,314.53,12.0,1,0,1
Comuna 1 (Centro Histórico),0,804000000,4,165.05,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,528000000,3,86.86,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,2350000000,4,265.47,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,3435000000,4,341.2,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1920000000,4,1254.15,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,719000000,3,124.6,12.0,0,1,1
Comuna 1 (Centro Histórico),0,312000000,2,91.56,1.5,0,1,0
Corregimiento Sur (Cabeceras),1,3572000000,4,354.56,14.0,1,0,2
Corregimiento Occidente (Llanogrande),1,4707000000,6,560.07,12.0,1,0,1
Comuna 1 (Centro Histórico),0,354000000,2,106.41,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,322000000,2,66.08,12.0,0,1,1
Comuna 2 (San Antonio),1,524000000,4,108.3,3.5,0,1,0
Comuna 4 (El Porvenir),1,929000000,3,193.24,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,982000000,3,847.65,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,1726000000,3,223.07,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,598000000,3,104.06,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,3681000000,5,311.53,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1069000000,4,673.1,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1644000000,4,1041.91,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1385000000,3,1173.17,6.0,0,0,2
Comuna 1 (Centro Histórico),0,480000000,2,138.31,1.5,0,1,0
Comuna 4 (El Porvenir),1,757000000,3,157.08,2.5,1,1,0
Comuna 1 (Centro Histórico),0,491000000,3,125.29,1.5,0,1,0
Corregimiento Sur (Cabeceras),1,4272000000,6,307.25,14.0,1,0,2
Comuna 1 (Centro Histórico),0,686000000,4,148.43,1.5,0,1,0
Comuna 2 (San Antonio),1,666000000,4,129.59,3.5,0,1,0
Comuna 4 (El Porvenir),1,726000000,4,142.73,2.5,1,1,0
Comuna 4 (El Porvenir),1,474000000,3,101.46,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,2937000000,5,253.98,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1864000000,3,248.5,10.0,0,0,3
Comuna 2 (San Antonio),1,605000000,4,119.4,3.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,416000000,2,87.29,12.0,0,1,1
Comuna 1 (Centro Histórico),0,433000000,2,126.96,1.5,0,1,0
Corregimiento Occidente (Llanogrande),1,5078000000,6,619.59,12.0,1,0,1
Comuna 1 (Centro Histórico),0,392000000,2,107.71,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1456000000,4,939.35,6.0,0,0,2
Comuna 1 (Centro Histórico),0,697000000,4,147.52,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,549000000,2,110.76,12.0,0,1,1
Comuna 1 (Centro Histórico),0,488000000,2,141.76,1.5,0,1,0
Comuna 2 (San Antonio),1,634000000,4,123.24,3.5,0,1,0
Comuna 2 (San Antonio),1,518000000,5,93.89,3.5,0,1,0
Comuna 4 (El Porvenir),1,825000000,4,162.58,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,5819000000,4,560.58,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1224000000,2,192.97,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,3633000000,5,506.79,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1668000000,4,994.47,6.0,0,0,2
Comuna 1 (Centro Histórico),0,602000000,3,140.05,1.5,0,1,0
Comuna 1 (Centro Histórico),0,495000000,2,141.4,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,526000000,2,104.0,12.0,0,1,1
