Sector,Tiene_parqueadero,Precio_venta_COP,Estrato,Area_construida_m2,Distancia_CC_San_Nicolas_km,Urbana_Rural,Tiene_conjunto_cerrado,Topografia
Corregimiento Norte (Galicia/La Mosca),1,637322868,2,183.6,10.24,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),0,349594216,3,70.8,1.4,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3490177903,5,329.6,16.03,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,641406355,2,129.9,8.97,Rural,1,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,229914500,2,67.7,1.96,Urbana,0,Plana y Ondulada
Corregimiento Centro (Río Abajo),0,757223404,3,201.6,6.68,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,3684510309,6,406.2,14.77,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3134520012,5,340.0,11.01,Rural,0,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,602717171,3,163.7,10.0,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,394846517,4,78.1,3.13,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,282734470,3,54.3,1.86,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,537203960,4,164.3,8.14,Rural,1,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,301024697,3,48.2,2.18,Urbana,1,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,218147991,3,54.2,2.06,Urbana,0,Plana y Ondulada
Corregimiento Centro (Río Abajo),1,901204715,4,195.1,6.47,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,2587455252,6,348.7,8.82,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),0,322485359,4,66.5,2.17,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,774354542,4,205.8,5.07,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,696986007,3,210.4,5.85,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),1,255609905,3,62.4,2.06,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),1,1587854591,4,196.9,15.55,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,3558216976,5,377.4,10.53,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,378761376,3,92.7,4.68,Urbana,1,Plana
Corregimiento Centro (Río Abajo),0,750766228,4,180.0,6.54,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,321096815,4,53.1,2.58,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1201628612,4,188.9,18.42,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1718461800,5,248.1,15.41,Rural,0,Ondulada
Comuna 2 (San Antonio),1,438901890,4,65.7,4.36,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,760565783,3,196.3,6.9,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,377152834,3,50.1,2.07,Urbana,0,Plana
Corregimiento Occidente (Llanogrande),0,3385531164,5,211.5,13.19,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,287602037,2,70.2,1.62,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,387557519,4,72.0,2.21,Urbana,1,Plana
Comuna 2 (San Antonio),1,459163387,3,91.8,3.11,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1722450563,6,159.5,14.75,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,3903471485,5,338.3,14.68,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),1,344579125,3,49.0,2.56,Urbana,1,Plana
Comuna 1 (Centro Histórico),1,280077373,4,75.6,1.51,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,270204112,3,63.7,1.24,Urbana,1,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,214772283,3,74.2,1.7,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,241224255,3,64.2,1.79,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,605608408,3,125.5,9.77,Rural,1,Montañosa y Quebrada
Comuna 2 (San Antonio),1,450256708,3,60.5,3.56,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,849414355,4,120.3,7.38,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,275242249,3,62.4,2.19,Urbana,1,Plana
Comuna 4 (El Porvenir),1,371148140,3,65.5,2.62,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,714003216,4,184.2,6.48,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,668344915,4,159.6,10.03,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1905978325,6,194.3,13.49,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1152228719,5,199.8,17.28,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),0,655663954,3,145.3,9.27,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1605436304,5,186.9,13.86,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,236562244,3,54.2,3.05,Urbana,0,Plana y Ondulada
Comuna 4 (El Porvenir),1,273171187,4,67.4,2.56,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,707276297,2,136.7,7.04,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,396861360,4,57.2,2.78,Urbana,1,Plana
Corregimiento Centro (Río Abajo),0,669745271,4,199.1,4.61,Rural,0,Ondulada
